layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
64,False,0.6443399786949158,0.45660001039505005,0.40484,0.3922,0.48082,0.4588,0.49196,0.4524,0.51658,0.465,0.56382,0.4797,0.58622,0.4585
64,False,0.6427800059318542,0.4611999988555908,0.41138,0.3994,0.48346,0.4618,0.4923,0.4609,0.52178,0.47,0.56908,0.4788,0.6026,0.466
64,False,0.6411799788475037,0.45579999685287476,0.40508,0.3884,0.4811,0.4544,0.49376,0.4533,0.5258,0.47,0.56652,0.4714,0.59642,0.4597
64,False,0.6604599952697754,0.46779999136924744,0.41164,0.397,0.48874,0.4694,0.50152,0.4644,0.5364,0.4706,0.58784,0.4776,0.62618,0.4727
64,False,0.6483799815177917,0.4625999927520752,0.40716,0.3932,0.4856,0.4627,0.4976,0.4589,0.52722,0.4652,0.57692,0.4802,0.61866,0.461
128,True,0.7568600177764893,0.4722999930381775,0.4232,0.4102,0.50016,0.4675,0.51444,0.4718,0.57108,0.4889,0.61002,0.4967,0.6773,0.4794
128,True,0.7364000082015991,0.4650000035762787,0.42594,0.4122,0.50022,0.4724,0.51366,0.4722,0.56988,0.4842,0.60308,0.4969,0.6614,0.4738
128,True,0.7602199912071228,0.4535999894142151,0.42896,0.4049,0.50294,0.4787,0.51984,0.4773,0.56308,0.4914,0.60106,0.5013,0.656,0.4708
128,True,0.759119987487793,0.46309998631477356,0.43128,0.4164,0.4989,0.4691,0.5187,0.4723,0.5661,0.4854,0.60286,0.4909,0.6804,0.4709
128,True,0.7555800080299377,0.4731999933719635,0.43306,0.4145,0.5029,0.4764,0.52024,0.4708,0.5781,0.4922,0.61426,0.4986,0.68218,0.4682
128,True,0.7653599977493286,0.4668999910354614,0.42962,0.4112,0.50194,0.4715,0.52032,0.4705,0.5752,0.4878,0.61846,0.4988,0.66764,0.4688
128,True,0.7421200275421143,0.4722000062465668,0.42924,0.4117,0.49978,0.4656,0.51662,0.4714,0.57084,0.4937,0.61088,0.498,0.6805,0.479
128,True,0.7754600048065186,0.4717999994754791,0.43028,0.4103,0.50212,0.4687,0.52526,0.4749,0.58078,0.4885,0.62442,0.4982,0.69978,0.4717
128,True,0.7454599738121033,0.460099995136261,0.42874,0.4123,0.49956,0.4734,0.51618,0.4723,0.5681,0.485,0.60564,0.496,0.66404,0.4687
128,True,0.7427399754524231,0.45489999651908875,0.41838,0.4048,0.49406,0.4714,0.49984,0.4577,0.5512,0.4799,0.58902,0.4906,0.64396,0.4576
128,True,0.72434002161026,0.4666000008583069,0.41438,0.4029,0.495,0.4701,0.50246,0.469,0.55342,0.4833,0.5933,0.4864,0.66296,0.4679
128,True,0.7302799820899963,0.4643999934196472,0.42438,0.4044,0.50014,0.473,0.5081,0.4711,0.5515,0.4851,0.59154,0.492,0.65048,0.4719
128,True,0.750819981098175,0.45980000495910645,0.42584,0.4084,0.49802,0.4689,0.51368,0.471,0.56162,0.4848,0.60226,0.4948,0.66242,0.47
128,True,0.7591400146484375,0.4722000062465668,0.42256,0.4104,0.50022,0.4738,0.5155,0.4756,0.57478,0.4881,0.61418,0.4974,0.66762,0.4706
128,True,0.7434599995613098,0.4625000059604645,0.43278,0.4143,0.50218,0.4722,0.52084,0.4779,0.57824,0.4892,0.61372,0.4955,0.6567,0.4684
128,True,0.7410600185394287,0.4564000070095062,0.42726,0.4098,0.49374,0.4689,0.51232,0.469,0.56526,0.4821,0.60264,0.4893,0.65704,0.4559
128,True,0.748520016670227,0.4593999981880188,0.43216,0.4086,0.49646,0.4705,0.51834,0.4714,0.5697,0.4796,0.60434,0.4895,0.66034,0.4682
128,True,0.7636399865150452,0.4731000065803528,0.43934,0.4227,0.50288,0.4688,0.52852,0.4761,0.57988,0.4898,0.6263,0.4935,0.68436,0.4739
128,True,0.7214599847793579,0.45410001277923584,0.4092,0.4034,0.48278,0.4657,0.4935,0.4633,0.53734,0.4763,0.5713,0.4876,0.63768,0.4587
128,True,0.7364400029182434,0.46639999747276306,0.41816,0.4062,0.4895,0.4638,0.5061,0.4677,0.55626,0.4814,0.59542,0.4931,0.65826,0.4696
128,True,0.7565799951553345,0.477400004863739,0.44174,0.4199,0.50456,0.4739,0.52204,0.4777,0.57322,0.4919,0.61306,0.5014,0.68952,0.4747
128,True,0.779699981212616,0.45590001344680786,0.42602,0.4123,0.49928,0.4782,0.5199,0.4737,0.57356,0.4896,0.6117,0.4952,0.6843,0.4695
128,True,0.7691799998283386,0.4632999897003174,0.42206,0.4108,0.49804,0.4683,0.5172,0.4681,0.56902,0.4861,0.61166,0.4945,0.68618,0.4681
128,True,0.7409399747848511,0.46470001339912415,0.42536,0.4112,0.49692,0.4665,0.51352,0.4731,0.5607,0.4802,0.59768,0.4923,0.64842,0.4655
128,True,0.7479599714279175,0.4657999873161316,0.4426,0.4253,0.50438,0.47,0.52148,0.4722,0.57094,0.4866,0.60572,0.4909,0.6665,0.4771
128,False,0.7924799919128418,0.45509999990463257,0.41732,0.4055,0.509,0.474,0.52988,0.4757,0.58576,0.4817,0.67134,0.4785,0.73948,0.4569
128,False,0.7978600263595581,0.46140000224113464,0.42912,0.4148,0.51108,0.4803,0.54854,0.4767,0.60488,0.4808,0.68802,0.4845,0.74336,0.4659
128,False,0.8044599890708923,0.46700000762939453,0.41546,0.4088,0.5098,0.4843,0.53578,0.4774,0.59178,0.488,0.6808,0.483,0.74386,0.4648
128,False,0.794439971446991,0.45820000767707825,0.42528,0.4141,0.5125,0.4802,0.5427,0.4819,0.59504,0.4891,0.6912,0.4821,0.74754,0.4611
128,False,0.7954000234603882,0.451200008392334,0.41246,0.4017,0.50266,0.471,0.53538,0.4717,0.58992,0.4774,0.67398,0.4769,0.73126,0.4565
128,False,0.794160008430481,0.44699999690055847,0.4225,0.4095,0.5089,0.4781,0.53854,0.4764,0.59068,0.4754,0.67028,0.4804,0.72416,0.4533
128,False,0.7897999882698059,0.45210000872612,0.41628,0.4103,0.51378,0.4838,0.53816,0.4686,0.5877,0.4765,0.67222,0.4752,0.73312,0.4542
128,False,0.8085399866104126,0.4699000120162964,0.43054,0.4244,0.51904,0.4913,0.55906,0.485,0.61876,0.487,0.71132,0.4863,0.7617,0.4731
128,False,0.7964199781417847,0.45980000495910645,0.426,0.4135,0.51272,0.4852,0.54398,0.4839,0.5958,0.4909,0.68224,0.4897,0.73158,0.4684
128,False,0.788640022277832,0.44440001249313354,0.41136,0.4049,0.50212,0.4819,0.52246,0.4836,0.56756,0.4783,0.65024,0.4819,0.70166,0.4518
128,False,0.8070399761199951,0.45809999108314514,0.42756,0.4113,0.51854,0.4777,0.55618,0.4761,0.61152,0.4819,0.70248,0.4791,0.75526,0.4595
128,False,0.7924200296401978,0.46219998598098755,0.41846,0.4048,0.50674,0.4807,0.53712,0.4799,0.5823,0.4832,0.66964,0.4889,0.73088,0.4676
128,False,0.7846400141716003,0.46000000834465027,0.42124,0.4057,0.5095,0.4804,0.53888,0.4713,0.5883,0.4778,0.67536,0.4822,0.7297,0.4624
128,False,0.7861999869346619,0.44859999418258667,0.41588,0.4107,0.50928,0.4784,0.5357,0.4744,0.5907,0.4863,0.66998,0.478,0.72178,0.4566
128,False,0.8030800223350525,0.453000009059906,0.43,0.4173,0.51928,0.4811,0.55062,0.4743,0.60232,0.4735,0.68628,0.4727,0.7347,0.4608
128,False,0.79475998878479,0.4668000042438507,0.4296,0.4176,0.51822,0.4796,0.55736,0.4754,0.61224,0.4886,0.6958,0.4882,0.74686,0.4635
128,False,0.8046799898147583,0.4512999951839447,0.42328,0.4088,0.5138,0.4782,0.54574,0.4793,0.59406,0.4791,0.69266,0.4812,0.75262,0.4561
128,False,0.7978000044822693,0.45910000801086426,0.4217,0.4081,0.51564,0.4788,0.54486,0.4791,0.59582,0.4869,0.68126,0.483,0.73586,0.4587
128,False,0.7932400107383728,0.4519999921321869,0.4207,0.4055,0.5061,0.4783,0.53316,0.4756,0.58294,0.4798,0.67646,0.4757,0.73868,0.452
128,False,0.8079599738121033,0.46970000863075256,0.4305,0.4159,0.51762,0.4834,0.55496,0.4795,0.61106,0.4866,0.69564,0.4893,0.74554,0.4695
128,False,0.789680004119873,0.45239999890327454,0.42224,0.4175,0.51012,0.4748,0.53944,0.4731,0.58922,0.4753,0.67698,0.4843,0.73046,0.4509
128,False,0.7826200127601624,0.4429999887943268,0.41426,0.4072,0.498,0.4641,0.52252,0.4761,0.5668,0.4789,0.65036,0.475,0.71856,0.4466
128,False,0.7953400015830994,0.4489000141620636,0.41222,0.4057,0.50578,0.475,0.53036,0.472,0.58792,0.4826,0.66624,0.4754,0.72052,0.4477
128,False,0.7979000210762024,0.4526999890804291,0.42484,0.414,0.50866,0.4754,0.53994,0.4756,0.59102,0.4803,0.67732,0.4784,0.73628,0.4584
128,False,0.7932000160217285,0.44670000672340393,0.414,0.4027,0.49872,0.4705,0.52706,0.4689,0.57612,0.4788,0.66422,0.4831,0.71844,0.4541
256,True,0.8587599992752075,0.4740999937057495,0.4425,0.4262,0.52584,0.4888,0.5436,0.4826,0.62172,0.5052,0.66764,0.5058,0.76648,0.47
256,True,0.8562399744987488,0.4758000075817108,0.44806,0.4346,0.52896,0.4916,0.53434,0.4807,0.62102,0.5002,0.66484,0.5091,0.74336,0.4788
256,True,0.8396999835968018,0.47769999504089355,0.44972,0.43,0.52782,0.4919,0.52952,0.4805,0.60742,0.5015,0.65328,0.5089,0.7458,0.4812
256,True,0.8551200032234192,0.4643999934196472,0.4336,0.4138,0.5183,0.4863,0.52954,0.4793,0.59912,0.4975,0.64004,0.5022,0.71996,0.4662
256,True,0.8661400079727173,0.46320000290870667,0.43752,0.4249,0.52094,0.4853,0.53138,0.4732,0.61588,0.4961,0.6653,0.4996,0.75082,0.4715
256,True,0.8524199724197388,0.46000000834465027,0.4403,0.4396,0.52536,0.4885,0.53324,0.4856,0.6085,0.4994,0.64992,0.4997,0.72168,0.465
256,True,0.8499799966812134,0.4657999873161316,0.43506,0.4274,0.52126,0.49,0.52902,0.4839,0.60984,0.4991,0.6554,0.5019,0.74122,0.4718
256,True,0.8616399765014648,0.4593000113964081,0.4509,0.4362,0.52502,0.4913,0.5356,0.4848,0.61966,0.4989,0.6622,0.5052,0.75758,0.4678
256,True,0.8346800208091736,0.4659999907016754,0.43364,0.4197,0.5213,0.4868,0.52886,0.4828,0.6004,0.4975,0.64574,0.5043,0.73198,0.4652
256,True,0.847819983959198,0.46070000529289246,0.4382,0.4304,0.52268,0.4887,0.52438,0.482,0.59234,0.4994,0.63648,0.5049,0.7269,0.4694
