frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.9965999722480774,0.9743000268936157,0.9381,0.9347,0.935,0.9316333333333333,0.9642166666666667,0.9557,0.9586,0.9599333333333333,0.9836166666666667,0.9683,0.9683,0.9826,0.9937833333333334,0.9742,0.9755,0.9932,0.9967,0.9753,0.9774,0.9959666666666667,0.9973333333333333,0.9755,0.9774,0.9974
True,0.9968833327293396,0.9771000146865845,0.9382166666666667,0.9321,0.9338,0.9335666666666667,0.9679,0.9559,0.9576,0.96265,0.9849333333333333,0.9692,0.9698,0.98295,0.99625,0.975,0.9754,0.9955166666666667,0.9976333333333334,0.9757,0.9784,0.9972333333333333,0.9984166666666666,0.9749,0.9759,0.9984
True,0.9972166419029236,0.9751999974250793,0.9265166666666667,0.925,0.927,0.9197333333333333,0.9629333333333333,0.9545,0.9575,0.95935,0.9806666666666667,0.9641,0.966,0.9791666666666666,0.9912833333333333,0.9708,0.9709,0.99,0.9958,0.9753,0.9765,0.9948,0.9963,0.9759,0.9762,0.9962333333333333
True,0.996399998664856,0.9746000170707703,0.9292,0.9286,0.9291,0.9228,0.9657666666666667,0.9544,0.9572,0.9607333333333333,0.9789833333333333,0.9594,0.9619,0.9781166666666666,0.993,0.9726,0.9738,0.9917666666666667,0.99615,0.9733,0.9749,0.99465,0.9973666666666666,0.9739,0.9745,0.9971
True,0.9969666600227356,0.9751999974250793,0.9307,0.9266,0.9261,0.9240666666666667,0.9620333333333333,0.9532,0.9566,0.9586666666666667,0.9834666666666667,0.9651,0.9659,0.9813166666666666,0.9922,0.9716,0.973,0.9916333333333334,0.9963,0.9751,0.9761,0.9954333333333333,0.9961,0.9724,0.9736,0.9958833333333333
False,0.9976666569709778,0.9793000221252441,0.9468666666666666,0.9411,0.942,0.9435166666666667,0.9865333333333334,0.9738,0.9753,0.9843333333333333,0.9970333333333333,0.979,0.9792,0.9962333333333333,0.9982166666666666,0.9801,0.9818,0.9974,0.9987666666666667,0.9806,0.982,0.99835,0.9986666666666667,0.9804,0.9807,0.9987333333333334
False,0.9979666471481323,0.9760000109672546,0.9537666666666667,0.9493,0.9499,0.9505666666666667,0.9867333333333334,0.9716,0.9732,0.9845666666666667,0.9961,0.9766,0.9771,0.9959166666666667,0.99715,0.9771,0.9781,0.99675,0.99775,0.9756,0.9776,0.9974333333333333,0.9974,0.9764,0.9769,0.9970166666666667
False,0.9980833530426025,0.9793999791145325,0.9484833333333333,0.9431,0.9415,0.9417,0.9852166666666666,0.9714,0.9727,0.9831833333333333,0.9962833333333333,0.978,0.9784,0.9952333333333333,0.9980666666666667,0.9803,0.9805,0.99725,0.9982833333333333,0.9791,0.9802,0.9981333333333333,0.9985,0.9792,0.9799,0.9984333333333333
False,0.9970166683197021,0.9775999784469604,0.9450333333333333,0.9393,0.9423,0.9415,0.9876833333333334,0.9728,0.9743,0.9855833333333334,0.9956333333333334,0.9775,0.9785,0.99505,0.9978833333333333,0.9788,0.9794,0.9977166666666667,0.99845,0.9787,0.9802,0.9981333333333333,0.9981,0.9782,0.9797,0.9978166666666667
False,0.9974833130836487,0.9771999716758728,0.9459,0.938,0.9414,0.9423666666666667,0.9855,0.9705,0.9742,0.9828666666666667,0.9941166666666666,0.9772,0.9774,0.9937333333333334,0.99735,0.977,0.9781,0.99705,0.9975333333333334,0.9771,0.978,0.9971333333333333,0.9973833333333333,0.9777,0.9777,0.9974833333333334
False,0.9978833198547363,0.9767000079154968,0.9432666666666667,0.9399,0.9387,0.93875,0.9866333333333334,0.9703,0.9722,0.9831666666666666,0.9958333333333333,0.9752,0.9763,0.9953,0.9971833333333333,0.9759,0.9771,0.99725,0.9977833333333334,0.9756,0.9778,0.9974,0.9969833333333333,0.974,0.9761,0.9970666666666667
