regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
batchnorm,True,0.8304200172424316,0.23510000109672546,0.16812,0.1473,0.28422,0.2151,0.29312,0.22,0.3505,0.2333,0.45356,0.2464,0.6898,0.2524
batchnorm,True,0.8357999920845032,0.23409999907016754,0.172,0.153,0.28532,0.2154,0.30112,0.2162,0.35606,0.2274,0.45376,0.2463,0.68582,0.2497
batchnorm,True,0.8327599763870239,0.23019999265670776,0.16912,0.1488,0.28612,0.2178,0.29592,0.2174,0.35068,0.2345,0.45004,0.2475,0.67298,0.2502
batchnorm,True,0.8357800245285034,0.24410000443458557,0.17128,0.1494,0.2873,0.2123,0.30002,0.2163,0.35712,0.2372,0.46164,0.2503,0.6931,0.2551
batchnorm,True,0.8389999866485596,0.23659999668598175,0.1709,0.1466,0.28594,0.2167,0.29598,0.2171,0.35208,0.2291,0.45414,0.249,0.6886,0.2501
batchnorm,True,0.8429200053215027,0.23659999668598175,0.17718,0.1534,0.28592,0.2157,0.30126,0.2143,0.35978,0.2366,0.46514,0.2512,0.69168,0.2525
batchnorm,True,0.8341000080108643,0.23319999873638153,0.17134,0.1502,0.2857,0.2165,0.29328,0.2146,0.35192,0.2291,0.45756,0.245,0.70468,0.2489
batchnorm,True,0.830839991569519,0.2320999950170517,0.16868,0.1464,0.28558,0.2159,0.29364,0.2138,0.35044,0.2325,0.45352,0.2471,0.67032,0.2498
batchnorm,False,0.8590599894523621,0.24729999899864197,0.16532,0.1449,0.2927,0.2292,0.29176,0.2311,0.33362,0.2336,0.48964,0.2618,0.71526,0.2605
batchnorm,False,0.8582000136375427,0.2410999983549118,0.16338,0.1473,0.293,0.2259,0.2898,0.2234,0.33738,0.2316,0.49634,0.2582,0.73862,0.2574
batchnorm,False,0.8562800288200378,0.2409999966621399,0.16278,0.1464,0.29102,0.2253,0.28864,0.2252,0.33308,0.2357,0.48974,0.2566,0.72704,0.2623
batchnorm,False,0.8599399924278259,0.24809999763965607,0.16446,0.1506,0.28984,0.2268,0.28836,0.2204,0.3366,0.2379,0.49634,0.2591,0.74148,0.2582
batchnorm,False,0.8616399765014648,0.23420000076293945,0.16294,0.1504,0.29266,0.2245,0.28774,0.2241,0.33312,0.2328,0.48018,0.2592,0.70584,0.2573
batchnorm,False,0.8542600274085999,0.24819999933242798,0.16338,0.149,0.29118,0.2261,0.29006,0.226,0.33688,0.2363,0.48962,0.2603,0.7309,0.2615
batchnorm,False,0.8568000197410583,0.24609999358654022,0.16522,0.1473,0.29334,0.224,0.2931,0.2271,0.33872,0.2377,0.49796,0.2623,0.73454,0.2631
batchnorm,False,0.8564000129699707,0.24009999632835388,0.16404,0.1459,0.29332,0.224,0.2882,0.2273,0.33716,0.238,0.48942,0.2565,0.72554,0.2594
batchnorm,False,0.8575000166893005,0.2443999946117401,0.16394,0.1479,0.29324,0.2286,0.29258,0.2286,0.33428,0.2403,0.4958,0.2611,0.73524,0.263
batchnorm,False,0.8569599986076355,0.24310000240802765,0.16406,0.1452,0.2893,0.2242,0.28986,0.224,0.33332,0.2353,0.49098,0.2601,0.7402,0.261
batchnorm,False,0.862559974193573,0.24199999868869781,0.16672,0.1496,0.29274,0.2242,0.29194,0.2263,0.33892,0.2361,0.49772,0.2585,0.7328,0.2625
batchnorm,False,0.8532400131225586,0.24390000104904175,0.16188,0.1447,0.29004,0.2275,0.28622,0.2229,0.33132,0.232,0.48704,0.2594,0.74004,0.2565
batchnorm,False,0.8567000031471252,0.24500000476837158,0.16004,0.1465,0.2919,0.224,0.28806,0.2239,0.3328,0.2319,0.48518,0.2581,0.71552,0.2595
batchnorm,False,0.8607199788093567,0.2485000044107437,0.16768,0.1486,0.29274,0.2281,0.29302,0.2274,0.33876,0.2347,0.50252,0.2622,0.75472,0.2592
batchnorm,False,0.8497999906539917,0.23759999871253967,0.1635,0.1469,0.28828,0.2248,0.2859,0.2195,0.32952,0.2338,0.4774,0.2603,0.6964,0.2564
batchnorm,False,0.8581200242042542,0.24210000038146973,0.16484,0.1497,0.29258,0.2261,0.28996,0.2251,0.33336,0.231,0.48766,0.2578,0.72866,0.2595
batchnorm,False,0.8544800281524658,0.24060000479221344,0.16378,0.1459,0.28932,0.2288,0.28814,0.2257,0.33376,0.2341,0.48458,0.2587,0.71466,0.2613
batchnorm,False,0.8547199964523315,0.24279999732971191,0.1666,0.1524,0.29088,0.2282,0.2881,0.2262,0.33462,0.2346,0.49362,0.2607,0.73682,0.2621
batchnorm,False,0.8582000136375427,0.23810000717639923,0.16396,0.147,0.28778,0.2261,0.28534,0.223,0.32988,0.2332,0.48436,0.2564,0.72168,0.2538
batchnorm,False,0.8595600128173828,0.2459000051021576,0.16502,0.1485,0.2931,0.2251,0.28992,0.2242,0.33574,0.2352,0.49164,0.2608,0.72306,0.2623
batchnorm,False,0.8598999977111816,0.24459999799728394,0.16366,0.1475,0.29218,0.2264,0.2924,0.2275,0.3394,0.2391,0.4945,0.2603,0.73006,0.2571
batchnorm,False,0.8574399948120117,0.23970000445842743,0.16402,0.1455,0.29204,0.2264,0.2873,0.2248,0.3383,0.2385,0.48918,0.2588,0.71958,0.2527
batchnorm,False,0.8622400164604187,0.24490000307559967,0.163,0.1448,0.28868,0.2261,0.28722,0.221,0.3342,0.2308,0.49174,0.2554,0.72962,0.2605
batchnorm,False,0.8576800227165222,0.2468000054359436,0.16368,0.1489,0.28936,0.2252,0.28664,0.2229,0.33396,0.234,0.49134,0.2572,0.73336,0.2619
batchnorm,False,0.8530600070953369,0.24150000512599945,0.16346,0.1463,0.2908,0.2274,0.28808,0.2206,0.33668,0.236,0.49658,0.2518,0.73928,0.256
dropout_0.1,True,0.07568000257015228,0.08410000056028366,0.05148,0.0497,0.10154,0.0821,0.07652,0.0735,0.10558,0.1011,0.12784,0.1027,0.1021,0.0984
dropout_0.1,True,0.16830000281333923,0.17569999396800995,0.10648,0.1009,0.2113,0.1748,0.1709,0.1508,0.208,0.1773,0.2353,0.1933,0.20642,0.1791
dropout_0.1,True,0.1491200029850006,0.16670000553131104,0.09744,0.0971,0.19844,0.1651,0.1499,0.1366,0.19554,0.172,0.22072,0.1828,0.18726,0.1653
dropout_0.1,True,0.08166000247001648,0.09759999811649323,0.05858,0.0586,0.12586,0.1019,0.09358,0.0944,0.12918,0.1169,0.15274,0.1255,0.12468,0.1152
dropout_0.1,True,0.16256000101566315,0.18320000171661377,0.10766,0.1024,0.21192,0.1776,0.16336,0.1474,0.20176,0.1809,0.23114,0.1943,0.19986,0.1768
dropout_0.1,True,0.14866000413894653,0.16840000450611115,0.0936,0.0923,0.19404,0.1676,0.14794,0.1429,0.19056,0.1714,0.21518,0.1824,0.1842,0.1658
dropout_0.1,True,0.13451999425888062,0.14339999854564667,0.0804,0.0803,0.18184,0.1539,0.13406,0.1253,0.17968,0.1594,0.20368,0.1709,0.17172,0.154
dropout_0.1,True,0.17093999683856964,0.17870000004768372,0.10778,0.1032,0.2113,0.1787,0.1676,0.1504,0.20934,0.1817,0.23556,0.1943,0.20868,0.1804
